,X.1,Title,Studio,calWeeklyGross,totTheatreCount,totGross,totBudget,WeeksOn,startYear,startWeek,X,Search,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
11,11,12 Strong,WB,46046600,12713,46046600,         NA,9,2018,3,9,12 Strong,NA,R,19/01/2018,130 min,"Action, Drama, History",Nicolai Fuglsig,"Ted Tally, Peter Craig, Doug Stanton (based on the book,  ""Horse Soldiers"" by)","Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban","12 Strong tells the story of the first Special Forces team deployed to Afghanistan after 9/11; under the leadership of a new captain, the team must work with an Afghan warlord to take down the Taliban.","English, Pushto, Russian",USA,N/A,https://m.media-amazon.com/images/M/MV5BNTEzMjk3NzkxMV5BMl5BanBnXkFtZTgwNjY2NDczNDM@._V1_SX300.jpg,66,54,54,32146,tt1413492,movie,1/05/2018,Warner Bros. Pictures,https://12strongmovie.com/
12,12,13 Hours: The Secret Soldiers of Benghazi,Par.,57103600,12523,57103700,5000000,9,2016,3,NA,NA,NA,R,15/01/2016,144 min,"Action, Drama, History",Michael Bay,"Chuck Hogan (screenplay), Mitchell Zuckoff (book)","John Krasinski, James Badge Dale, Pablo Schreiber, David Denman","During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.","English, Arabic","Malta, Morocco, USA",Nominated for 1 Oscar. Another 4 nominations.,https://m.media-amazon.com/images/M/MV5BYjY0OWVjMGQtNTIzZi00OGU5LWI4N2EtMGU0YzQ4OWM4ZmVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,73,50,48,95904,tt4172430,movie,7/06/2016,Paramount Pictures,http://www.thirteenhoursmovie.com/
13,13,13 Minutes,SPC,167600,132,166300,         NA,9,2017,26,10,13 Minutes,NA,R,30/06/2017,114 min,"Biography, Drama, War",Oliver Hirschbiegel,"Léonie-Claire Breinersdorfer (screenplay), Fred Breinersdorfer (screenplay)","Christian Friedel, Katharina Schüttler, Burghart Klaußner, Johann von Bülow","In November 1939, Georg Elser's attempt to assassinate Adolf Hitler fails, and he is arrested. During his confinement, he recalls the events leading up to his plot and his reasons for deciding to take such drastic action.",German,Germany,4 wins & 16 nominations.,https://m.media-amazon.com/images/M/MV5BMTU3MzYzNDEzN15BMl5BanBnXkFtZTgwODM5NTY0MTI@._V1_SX300.jpg,70,76,58,6463,tt1708135,movie,NA,Sony Pictures Classics,http://sonyclassics.com/13minutes/#
14,14,1898: Los ultimos de Filipinas,Sony,3000,10,3000,         NA,1,2017,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,1915,BM,101700,41,105700,         NA,8,2015,16,11,1915,NA,N/A,23/04/2015,82 min,Drama,"Garin Hovannisian, Alec Mouhibian","Garin Hovannisian, Alec Mouhibian","Simon Abkarian, Angela Sarafyan, Sam Page, Nikolai Kinski","Exactly 100 years after the Armenian Genocide, a theatre director stages a play to bring the ghosts of the past back to life.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNTMxNDczNDQyM15BMl5BanBnXkFtZTgwMzE3NjkwNTE@._V1_SX300.jpg,48,40,NA,4338,tt3781762,movie,NA,Bloodvine Media,http://www.1915themovie.com/
16,16,1945,Men.,823600,308,813700,         NA,9,2017,43,12,1945,NA,N/A,1/11/2017,91 min,Drama,Ferenc Török,"Gábor T. Szántó, Ferenc Török, Krisztina Esztergályos (dramaturge)","Péter Rudolf, Bence Tasnádi, Tamás Szabó Kimmel, Dóra Sztarenki","12 August 1945, 11 AM. Two mysterious strangers dressed in black appear at the railway station of a Hungarian village. Within a few hours, everything changes.","Hungarian, Russian",Hungary,1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BOWZmMWViYjctNTIzNi00YTZhLWE0NGItMmZlMWNjMDBhM2Q0XkEyXkFqcGdeQXVyMjIzMDAwOTc@._V1_SX300.jpg,76,96,80,568,tt5815492,movie,NA,Katapult Film,http://katapultfilm.hu/film.php?id_film=14
17,17,2:22,Magn.,400,3,400,         NA,1,2017,26,13,2:22,NA,PG-13,30/06/2017,98 min,Thriller,Paul Currie,"Todd Stein (screenplay by), Nathan Parker (screenplay by), Todd Stein (story by)","Teresa Palmer, Michiel Huisman, Simone Kessell, Sam Reid","A man's life is derailed when an ominous pattern of events repeats itself in exactly the same manner every day, ending at precisely 2:22 p.m.",English,"Australia, USA",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDQyMTUyMDExNl5BMl5BanBnXkFtZTgwODkxODEyMjI@._V1_SX300.jpg,57,22,NA,13163,tt1131724,movie,30/06/2017,Magnolia Pictures,https://www.lightstreamentertainment.com/2-22
18,18,20 Once Again,CJ,255000,29,255000,         NA,3,2015,3,NA,NA,NA,N/A,16/01/2015,131 min,"Comedy, Fantasy, Music",Leste Chen,"Dong-ik Shin (original screenplay), Yoon-jeong Hong (original screenplay), Hee-seon Dong (original screenplay), Dong-hyuk Hwang (original screenplay), Xiao Ge Lin (screenplay adaptation), Peng Ren (screenplay adaptation)","Zishan Yang, Ah-Lei Gua, Bo-lin Chen, Han Lu",A 70-year old woman living unhappily with her son's family is magically restored to her beauty of 50 years earlier. Complications ensue.,Mandarin,"China, South Korea",3 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BNzU2NDM2NTY4N15BMl5BanBnXkFtZTgwMjA5Njk2NTE@._V1_SX300.jpg,67,NA,NA,889,tt4344878,movie,NA,CJ Entertainment,N/A
19,19,"20,000 Days on Earth",Drft.,313600,154,319200,         NA,9,2014,37,14,"20,000 Days on Earth",NA,NOT RATED,18/11/2014,97 min,"Documentary, Drama, Music","Iain Forsyth, Jane Pollard","Nick Cave, Iain Forsyth, Jane Pollard","Nick Cave, Susie Bick, Darian Leader, Warren Ellis","Writer and musician Nick Cave marks his 20,000th day on the planet Earth.",English,UK,Nominated for 1 BAFTA Film Award. Another 8 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzOTI2NjkxM15BMl5BanBnXkFtZTgwNjg4MDgyMjE@._V1_SX300.jpg,75,95,83,9694,tt2920540,movie,18/11/2014,Drafthouse Films,http://www.20000daysonearth.com/
20,20,2001: A Space Odyssey (2018 re-release),WB,1256900,48,1256900,         NA,8,2018,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,2015 Oscar Nominated Short Films,Shrts.,2754300,870,2754300,         NA,7,2015,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,2016 Oscar Nominated Short Films,Shrts.,3043400,1010,3043300,         NA,8,2016,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,23,20th Century Women,A24,5746000,2050,5896000,         NA,9,2016,52,15,20th Century Women,NA,R,20/01/2017,119 min,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",English,USA,Nominated for 1 Oscar. Another 12 wins & 67 nominations.,https://m.media-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_SX300.jpg,74,88,83,27430,tt4385888,movie,28/03/2017,A24 Films,http://www.20thcenturywomen-movie.com/
24,24,22 Jump Street,Sony,76892200,15860,219136800,5000000,9,2014,26,16,22 Jump Street,NA,R,13/06/2014,112 min,"Action, Comedy, Crime","Phil Lord, Christopher Miller","Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")","Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",English,USA,7 wins & 24 nominations.,https://m.media-amazon.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg,70,85,71,302413,tt2294449,movie,18/11/2014,Sony Pictures,http://www.22jumpstreetmovie.com/site/
25,25,23 Blast,OAE,613300,785,613400,         NA,4,2014,43,17,23 Blast,NA,PG-13,24/10/2014,98 min,"Drama, Family, Sport",Dylan Baker,"Bram Hoover, Toni Hoover","Stephen Lang, Alexa PenaVega, Mark Hapka, Max Adler","When a high school football star is suddenly stricken with irreversible total blindness, he must decide whether to live a safe handicapped life or bravely return to the life he once knew and the sport he still loves.",English,USA,1 win.,https://ia.media-imdb.com/images/M/MV5BMTYwNjIxOTc4NF5BMl5BanBnXkFtZTgwMTI0MDA5MjE@._V1_SX300.jpg,64,38,45,1459,tt2304459,movie,NA,Ocean Avenue Entertainment,http://www.23Blast.com
26,26,24 Frames,Jan.,35000,7,34900,         NA,7,2018,5,18,24 Frames,NA,N/A,2/02/2018,114 min,Drama,Abbas Kiarostami,N/A,N/A,"24 Frames is an experimental project made by filmmaker Abbas Kiarostami in the last three years of his life. It is a collection of 24 short four-and-a-half minutes films inspired by still images, including paintings and photographs.",None,"Iran, France",1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ2MzU4NTQzMl5BMl5BanBnXkFtZTgwNDk0ODIzMjI@._V1_SX300.jpg,70,95,78,160,tt6777170,movie,NA,Janus Films,http://www.janusfilms.com/films/1865
27,27,"3 1/2 Minutes, 10 Bullets",Part.,33400,20,33400,         NA,6,2015,25,NA,NA,NA,TV-MA,2/10/2015,98 min,"Documentary, Crime",Marc Silver,Marc Silver,"Lucia McBath, Ron Davis, Michael David Dunn, Russell Healey","Black Friday, the day after Thanksgiving November 2012, four boys in a red SUV pull into a gas station after spending time at the mall buying sneakers and talking to girls. With music ...",English,USA,4 wins & 6 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0NjE0NjMzOTBeQTJeQWpwZ15BbWU4MDI5MzE1NzUx._V1_SX300.jpg,72,100,76,1464,tt4126312,movie,NA,Participant Media,http://www.candescentfilms.com/three-half-minutes/
28,28,3 Generations,Wein.,152500,43,152500,         NA,2,2017,18,19,3 Generations,NA,PG-13,29/09/2016,92 min,Drama,Gaby Dellal,"Nikole Beckwith, Gaby Dellal","Elle Fanning, Linda Emond, Susan Sarandon, Naomi Watts","After Ray decides to transition from female to male, Ray's mother, Maggie, must come to terms with the decision while tracking down Ray's biological father to get his legal consent.","English, Spanish",USA,1 nomination.,https://ia.media-imdb.com/images/M/MV5BMTk1MTIwOTMwNl5BMl5BanBnXkFtZTgwODQzNjY5MTI@._V1_SX300.jpg,57,32,47,3760,tt4158624,movie,13/06/2017,The Weinstein Company,N/A
29,29,3 Hearts,Cohen,177900,88,173500,         NA,9,2015,11,20,3 Hearts,NA,PG-13,17/09/2014,108 min,"Drama, Romance",Benoît Jacquot,"Julien Boivent, Benoît Jacquot","Benoît Poelvoorde, Charlotte Gainsbourg, Chiara Mastroianni, Catherine Deneuve","A tax inspector, his new bride and her sister become entwined in a love triangle.","French, Chinese","France, Germany, Belgium",7 nominations.,https://m.media-amazon.com/images/M/MV5BMjAxOTY1MDg2N15BMl5BanBnXkFtZTgwNDQ3OTI0NDE@._V1_SX300.jpg,59,81,56,1975,tt2822742,movie,27/07/2015,Cohen Media Group,http://www.cohenmedia.net/films/three-hearts
30,30,3 Idiotas,PNT,1293900,786,1293900,         NA,4,2017,22,21,3 Idiotas,NA,PG-13,2/06/2017,106 min,"Comedy, Family",Carlos Bolado,"Antonio Abascal (screenplay by), Carlos Bolado (screenplay by), Martha Higareda (screenplay by), Cory Brusseau (screenplay by), Vidhu Vinod Chopra (based on the movie ""3 Idiots"" written by), Rajkumar Hirani (based on the movie ""3 Idiots"" written by), Abhijat Joshi (based on the movie ""3 Idiots"" written by)","Martha Higareda, Alfonso Dosal, Christian Vazquez, German Valdez",A group of friends embark on a fun adventure determined to find a college roommate who disappeared without a trace on graduation day.,Spanish,Mexico,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjY0ZjdkYjYtZGJiZS00NmFhLTk5MDktODJmNmNmNWM4ZDgxXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,42,NA,NA,661,tt3685624,movie,NA,Pantelion Films,http://3idiotas.com/
31,31,3 Nights in the Desert,Mont.,1400,3,1300,         NA,4,2015,6,22,3 Nights in the Desert,NA,R,4/01/2014,90 min,Drama,Gabriel Cowan,Adam Chanzit (screenplay),"Wes Bentley, Vincent Piazza, Amber Tamblyn","THE BIG CHILL meets THE GRADUATE. What could have been? What might have been? Reunions can be exciting, frustrating, exhilarating, nostalgic, one life given over to practicality while ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDM2MjMyMTQ3M15BMl5BanBnXkFtZTgwMDg3OTQxNDE@._V1_SX300.jpg,55,40,NA,1585,tt2123884,movie,31/03/2015,Monterey Media Inc.,http://www.montereymedia.com/3nightsinthedesert
32,32,3 Weeks in Yerevan,RME,31900,3,31900,         NA,1,2016,38,23,3 Weeks in Yerevan,NA,N/A,NA,N/A,Comedy,"Vahe Berberian, Vahik Pirhamzei","Narbeh Nazarian (story), Vahe Berberian (screenplay)","Vahik Pirhamzei, Hrant Tokhatyan, Vahe Berberian, Nanor Petrosyan","In this heartwarming comedy, two filmmakers (Armen and Raffi), from Los Angeles, go to Armenia to shoot a feature length movie about a third generation American Armenian who goes to Yerevan...",Armenian,USA,N/A,N/A,NA,NA,NA,NA,tt5791932,movie,NA,Wet Paint Production,http://3weeksinyerevan.com/
33,33,30-Love,N/A,4400,1,4400,         NA,1,2017,39,24,30-Love,NA,N/A,23/08/2013,15 min,"Short, Comedy, Sport",Richard Stark,Richard Stark,"Ludwig Manukian, Jennifer Cooley, Chris Akers, Michelle McGinty","A comedy about Bruce (Ludwig Manukian), who drags his wife Jodi (Jennifer Cooley), to try to join a ritzy country club that's way beyond their means. To get in, they must impress its snobby...",English,"Canada, USA",1 win.,N/A,90,NA,NA,27,tt2189716,movie,NA,N/A,N/A
34,34,30 Years of Garbage: The Garbage Pail Kids Story,Indic.,28600,26,28100,         NA,9,2017,32,25,30 Years of Garbage: The Garbage Pail Kids Story,NA,NOT RATED,20/09/2017,114 min,Documentary,"Jeff Zapata, Joe Simko",Joe Simko,"Art Spiegelman, John Pound, Tom Bunk, James Warhola",In the 1980s a bunch of underground cartoonists parodied a popular doll. The resulting commercial product tapped into the international kid zeitgeist. That young generation felt that this product spoke to the revulsion they had for the corporate pop culture that was being fed to them.,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZjRiYTcyNGEtYmY3MS00MDM3LThhODgtMTE4ZjNkZTZkMDFmXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,75,NA,NA,31,tt3711708,movie,NA,Indican Pictures,https://www.30yearsofgarbage.com/
35,35,31,Saban,844100,853,819700,         NA,5,2016,35,26,31,NA,R,16/09/2016,102 min,"Horror, Thriller",Rob Zombie,Rob Zombie,"Sheri Moon Zombie, Jeff Daniel Phillips, Lawrence-Hilton Jacobs, Meg Foster","Five carnival workers are kidnapped and held hostage in an abandoned, Hell-like compound where they are forced to participate in a violent game, the goal of which is to survive twelve hours against a gang of sadistic clowns.","English, Spanish, German","UK, USA",1 win & 7 nominations.,https://m.media-amazon.com/images/M/MV5BNTE0NTMzNjE0NV5BMl5BanBnXkFtZTgwMzM4NTM3OTE@._V1_SX300.jpg,51,49,35,13556,tt3835080,movie,20/12/2016,Bow and Arrow Entertainment,N/A
36,36,33 & Beyond,Gathr,800,1,16700,         NA,23,2018,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,37,4 Days in France,CGld,12200,7,12400,         NA,8,2017,31,27,4 Days in France,NA,UNRATED,4/08/2017,137 min,"Comedy, Drama, Romance",Jérôme Reybaud,Jérôme Reybaud,"Pascal Cervo, Arthur Igual, Fabienne Babe, Nathalie Richard","A man leaves his home unannounced, and spends four days wandering around France.","French, English, Italian",France,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGQzMzhmYmYtMGRjZi00ZjRlLWI2YWUtNTUzNzQzYzY3MTZhXkEyXkFqcGdeQXVyMTg5MDEyNw@@._V1_SX300.jpg,61,NA,73,245,tt5048406,movie,NA,N/A,N/A
38,38,45 Years,IFC,4586500,1286,4576600,         NA,9,2015,51,28,45 Years,NA,R,28/08/2015,91 min,"Drama, Romance",Andrew Haigh,"Andrew Haigh, David Constantine (short story ""In Another Country"")","Charlotte Rampling, Tom Courtenay, Geraldine James, Dolly Wells",A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.,English,UK,Nominated for 1 Oscar. Another 20 wins & 52 nominations.,https://ia.media-imdb.com/images/M/MV5BMTgxMTQ4NzMyN15BMl5BanBnXkFtZTgwODA0MTgyNzE@._V1_SX300.jpg,71,97,94,25821,tt3544082,movie,14/06/2016,Sundance Selects,http://www.45yearsfilm.com/
39,39,47 Meters Down,ENTMP,45928900,12262,45971100,550000,9,2017,24,NA,NA,NA,PG-13,16/06/2017,89 min,"Adventure, Drama, Horror",Johannes Roberts,"Johannes Roberts, Ernest Riera","Mandy Moore, Claire Holt, Chris Johnson, Yani Gellman","Two sisters vacationing in Mexico are trapped in a shark cage at the bottom of the ocean. With less than an hour of oxygen left and great white sharks circling nearby, they must fight to survive.","English, Spanish","UK, USA, Dominican Republic",1 nomination.,https://m.media-amazon.com/images/M/MV5BOGJlNDJkZmEtMjUwNS00ZWViLWIyZGEtN2Y5ZjZlNDE1NWJkXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SX300.jpg,57,55,52,33041,tt2932536,movie,26/09/2017,Entertainment Studios Motion Pictures,http://47metersdownmovie.com/
40,40,5 Flights Up,Focus,1110100,457,1147100,         NA,7,2015,19,29,5 Flights Up,NA,PG-13,8/05/2015,88 min,Drama,Richard Loncraine,"Charlie Peters (screenplay), Jill Ciment (book)","Diane Keaton, Morgan Freeman, Cynthia Nixon, Carrie Preston",A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTQ5MzU3MzgwN15BMl5BanBnXkFtZTgwNjM2NDQ3NDE@._V1_SX300.jpg,62,47,55,7061,tt2933544,movie,7/07/2015,Focus Features,http://www.focusfeatures.com/5_flights_up/
41,41,5 to 7,IFC,149700,96,149600,         NA,6,2015,14,30,5 to 7,NA,R,12/02/2015,95 min,"Comedy, Drama, Romance",Victor Levin,Victor Levin,"Anton Yelchin, Bérénice Marlohe, David Remnick, David Shannon","An aspiring novelist enters into a relationship with a woman, though there's just one catch: She's married, and the couple can only meet between the hours of 5 and 7 each evening.","English, French",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ4Mzg3ODQ4M15BMl5BanBnXkFtZTgwMjA3NjE1NDE@._V1_SX300.jpg,71,69,52,15056,tt2486678,movie,18/08/2015,IFC Films,http://www.ifcfilms.com/films/5-to-7
42,42,50 to 1,10F,356900,220,1206200,         NA,30,2014,26,31,50 to 1,NA,PG-13,21/03/2014,110 min,Drama,Jim Wilson,"Faith Conroy, Jim Wilson","Skeet Ulrich, Christian Kane, William Devane, Madelyn Deutch",A misfit group of New Mexico cowboys find themselves on the journey of a lifetime when their crooked-footed racehorse qualifies for the Kentucky Derby. Based on the inspiring true story of ...,"English, Portuguese",USA,N/A,https://m.media-amazon.com/images/M/MV5BNTQ0MDc0NTQ1OV5BMl5BanBnXkFtZTgwNDY2NjU3MDE@._V1_SX300.jpg,66,17,37,1660,tt1777595,movie,28/04/2015,Ten Furlongs LLC.,http://www.50to1themovie.com/
43,43,7 Chinese Brothers,Scre.,31800,18,31700,         NA,4,2015,35,32,7 Chinese Brothers,NA,NOT RATED,13/04/2016,76 min,Comedy,Bob Byington,Bob Byington,"Jason Schwartzman, Olympia Dukakis, Tunde Adebimpe, Eleanore Pienta","Larry (Jason Schwartzman) is content with his dog Arrow and booze, barely tolerating anything or anyone else. His marginally successful relationships include his grandmother, who keeps him ...",English,USA,2 wins & 4 nominations.,https://ia.media-imdb.com/images/M/MV5BMTg4MTkzMzA3OV5BMl5BanBnXkFtZTgwNDI3NTc2NjE@._V1_SX300.jpg,56,75,56,1190,tt3488184,movie,27/10/2015,Screen Media Films,https://www.facebook.com/7chinesebrothers
44,44,7 Days in Entebbe,Focus,3363700,1783,3287900,         NA,4,2018,11,33,7 Days in Entebbe,NA,PG-13,16/03/2018,107 min,"Crime, Drama, History",José Padilha,Gregory Burke (screenplay by),"Rosamund Pike, Daniel Brühl, Eddie Marsan, Kamil Lemieszewski","Inspired by the true events of the 1976 hijacking of an Air France flight en route from Tel Aviv to Paris, and the most daring rescue mission ever attempted.","English, German, French, Hebrew","UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjAwNDMzNzg0Nl5BMl5BanBnXkFtZTgwOTkxNjY2NDM@._V1_SX300.jpg,57,25,49,3518,tt5466186,movie,3/07/2018,Focus Features,http://www.focusfeatures.com/7-days-in-entebbe
