,Search,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,IMDBRating,RTRating,Metacritic,IMDBVotes,imdbID,Type,DVD,Production,Website
11,"20,000 Days on Earth","20,000 Days on Earth",NA,NOT RATED,18/11/2014,97 min,"Documentary, Drama, Music","Iain Forsyth, Jane Pollard","Nick Cave, Iain Forsyth, Jane Pollard","Nick Cave, Susie Bick, Darian Leader, Warren Ellis","Writer and musician Nick Cave marks his 20,000th day on the planet Earth.",English,UK,Nominated for 1 BAFTA Film Award. Another 8 wins & 15 nominations.,https://m.media-amazon.com/images/M/MV5BMTQzOTI2NjkxM15BMl5BanBnXkFtZTgwNjg4MDgyMjE@._V1_SX300.jpg,75,95,83,9694,tt2920540,movie,18/11/2014,Drafthouse Films,http://www.20000daysonearth.com/
12,20th Century Women,20th Century Women,NA,R,20/01/2017,119 min,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup","The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",English,USA,Nominated for 1 Oscar. Another 12 wins & 67 nominations.,https://m.media-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_SX300.jpg,74,88,83,27430,tt4385888,movie,28/03/2017,A24 Films,http://www.20thcenturywomen-movie.com/
13,24 Frames,24 Frames,NA,N/A,2/02/2018,114 min,Drama,Abbas Kiarostami,N/A,N/A,"24 Frames is an experimental project made by filmmaker Abbas Kiarostami in the last three years of his life. It is a collection of 24 short four-and-a-half minutes films inspired by still images, including paintings and photographs.",None,"Iran, France",1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ2MzU4NTQzMl5BMl5BanBnXkFtZTgwNDk0ODIzMjI@._V1_SX300.jpg,70,95,78,160,tt6777170,movie,NA,Janus Films,http://www.janusfilms.com/films/1865
14,3 Generations,3 Generations,NA,PG-13,29/09/2016,92 min,Drama,Gaby Dellal,"Nikole Beckwith, Gaby Dellal","Elle Fanning, Linda Emond, Susan Sarandon, Naomi Watts","After Ray decides to transition from female to male, Ray's mother, Maggie, must come to terms with the decision while tracking down Ray's biological father to get his legal consent.","English, Spanish",USA,1 nomination.,https://ia.media-imdb.com/images/M/MV5BMTk1MTIwOTMwNl5BMl5BanBnXkFtZTgwODQzNjY5MTI@._V1_SX300.jpg,57,32,47,3760,tt4158624,movie,13/06/2017,The Weinstein Company,N/A
15,3 Hearts,3 Hearts,NA,PG-13,17/09/2014,108 min,"Drama, Romance",Benoît Jacquot,"Julien Boivent, Benoît Jacquot","Benoît Poelvoorde, Charlotte Gainsbourg, Chiara Mastroianni, Catherine Deneuve","A tax inspector, his new bride and her sister become entwined in a love triangle.","French, Chinese","France, Germany, Belgium",7 nominations.,https://m.media-amazon.com/images/M/MV5BMjAxOTY1MDg2N15BMl5BanBnXkFtZTgwNDQ3OTI0NDE@._V1_SX300.jpg,59,81,56,1975,tt2822742,movie,27/07/2015,Cohen Media Group,http://www.cohenmedia.net/films/three-hearts
16,3 Idiotas,3 Idiotas,NA,PG-13,2/06/2017,106 min,"Comedy, Family",Carlos Bolado,"Antonio Abascal (screenplay by), Carlos Bolado (screenplay by), Martha Higareda (screenplay by), Cory Brusseau (screenplay by), Vidhu Vinod Chopra (based on the movie ""3 Idiots"" written by), Rajkumar Hirani (based on the movie ""3 Idiots"" written by), Abhijat Joshi (based on the movie ""3 Idiots"" written by)","Martha Higareda, Alfonso Dosal, Christian Vazquez, German Valdez",A group of friends embark on a fun adventure determined to find a college roommate who disappeared without a trace on graduation day.,Spanish,Mexico,1 nomination.,https://m.media-amazon.com/images/M/MV5BZjY0ZjdkYjYtZGJiZS00NmFhLTk5MDktODJmNmNmNWM4ZDgxXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,42,NA,NA,661,tt3685624,movie,NA,Pantelion Films,http://3idiotas.com/
17,3 Nights in the Desert,3 Nights in the Desert,NA,R,4/01/2014,90 min,Drama,Gabriel Cowan,Adam Chanzit (screenplay),"Wes Bentley, Vincent Piazza, Amber Tamblyn","THE BIG CHILL meets THE GRADUATE. What could have been? What might have been? Reunions can be exciting, frustrating, exhilarating, nostalgic, one life given over to practicality while ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDM2MjMyMTQ3M15BMl5BanBnXkFtZTgwMDg3OTQxNDE@._V1_SX300.jpg,55,40,NA,1585,tt2123884,movie,31/03/2015,Monterey Media Inc.,http://www.montereymedia.com/3nightsinthedesert
18,30 Years of Garbage: The Garbage Pail Kids Story,30 Years of Garbage: The Garbage Pail Kids Story,NA,NOT RATED,20/09/2017,114 min,Documentary,"Jeff Zapata, Joe Simko",Joe Simko,"Art Spiegelman, John Pound, Tom Bunk, James Warhola",In the 1980s a bunch of underground cartoonists parodied a popular doll. The resulting commercial product tapped into the international kid zeitgeist. That young generation felt that this product spoke to the revulsion they had for the corporate pop culture that was being fed to them.,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BZjRiYTcyNGEtYmY3MS00MDM3LThhODgtMTE4ZjNkZTZkMDFmXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,75,NA,NA,31,tt3711708,movie,NA,Indican Pictures,https://www.30yearsofgarbage.com/
19,4 Days in France,4 Days in France,NA,UNRATED,4/08/2017,137 min,"Comedy, Drama, Romance",Jérôme Reybaud,Jérôme Reybaud,"Pascal Cervo, Arthur Igual, Fabienne Babe, Nathalie Richard","A man leaves his home unannounced, and spends four days wandering around France.","French, English, Italian",France,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNGQzMzhmYmYtMGRjZi00ZjRlLWI2YWUtNTUzNzQzYzY3MTZhXkEyXkFqcGdeQXVyMTg5MDEyNw@@._V1_SX300.jpg,61,NA,73,245,tt5048406,movie,NA,N/A,N/A
20,45 Years,45 Years,NA,R,28/08/2015,91 min,"Drama, Romance",Andrew Haigh,"Andrew Haigh, David Constantine (short story ""In Another Country"")","Charlotte Rampling, Tom Courtenay, Geraldine James, Dolly Wells",A married couple preparing to celebrate their wedding anniversary receives shattering news that promises to forever change the course of their lives.,English,UK,Nominated for 1 Oscar. Another 20 wins & 52 nominations.,https://ia.media-imdb.com/images/M/MV5BMTgxMTQ4NzMyN15BMl5BanBnXkFtZTgwODA0MTgyNzE@._V1_SX300.jpg,71,97,94,25821,tt3544082,movie,14/06/2016,Sundance Selects,http://www.45yearsfilm.com/
21,5 Flights Up,5 Flights Up,NA,PG-13,8/05/2015,88 min,Drama,Richard Loncraine,"Charlie Peters (screenplay), Jill Ciment (book)","Diane Keaton, Morgan Freeman, Cynthia Nixon, Carrie Preston",A long-time married couple who've spent their lives together in the same New York apartment become overwhelmed by personal and real estate-related issues when they plan to move away.,English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BMTQ5MzU3MzgwN15BMl5BanBnXkFtZTgwNjM2NDQ3NDE@._V1_SX300.jpg,62,47,55,7061,tt2933544,movie,7/07/2015,Focus Features,http://www.focusfeatures.com/5_flights_up/
22,5 to 7,5 to 7,NA,R,12/02/2015,95 min,"Comedy, Drama, Romance",Victor Levin,Victor Levin,"Anton Yelchin, Bérénice Marlohe, David Remnick, David Shannon","An aspiring novelist enters into a relationship with a woman, though there's just one catch: She's married, and the couple can only meet between the hours of 5 and 7 each evening.","English, French",USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTQ4Mzg3ODQ4M15BMl5BanBnXkFtZTgwMjA3NjE1NDE@._V1_SX300.jpg,71,69,52,15056,tt2486678,movie,18/08/2015,IFC Films,http://www.ifcfilms.com/films/5-to-7
23,7 Days in Entebbe,7 Days in Entebbe,NA,PG-13,16/03/2018,107 min,"Crime, Drama, History",José Padilha,Gregory Burke (screenplay by),"Rosamund Pike, Daniel Brühl, Eddie Marsan, Kamil Lemieszewski","Inspired by the true events of the 1976 hijacking of an Air France flight en route from Tel Aviv to Paris, and the most daring rescue mission ever attempted.","English, German, French, Hebrew","UK, USA",N/A,https://m.media-amazon.com/images/M/MV5BMjAwNDMzNzg0Nl5BMl5BanBnXkFtZTgwOTkxNjY2NDM@._V1_SX300.jpg,57,25,49,3518,tt5466186,movie,3/07/2018,Focus Features,http://www.focusfeatures.com/7-days-in-entebbe
24,7 From Etheria,7 from Etheria,NA,N/A,NA,95 min,Horror,"Heidi Lee Douglas, Arantxa Echevarria, Martha Goddard, Anna Elizabeth James, Karen Lam, Barbara Stepansky, Rebecca Thomson","Claire D'Este, Heidi Lee Douglas, Arantxa Echevarria, Douglas Martha Goddard, David Lewis, Lydia Mulvey, Barbara Stepansky","Elizabeth Debicki, Javier Godino, David James, Anne Ramsay","Etheria is the world's most respected showcase of the best new horror, comedy, science fiction, fantasy, action, and thriller films made by emerging women directors.",N/A,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BY2NkN2VmZTgtMGIxNS00ZTU4LThlOTYtNGRiNGZmYWUzM2EwXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,NA,NA,NA,NA,tt7073518,movie,NA,N/A,N/A
25,7 Witches,7 Witches,NA,NOT RATED,14/04/2017,75 min,"Horror, Thriller",Brady Hall,"Ed Dougherty, Brady Hall","Persephone Apostolou, Danika Golombek, Megan Hensley, Macall Gordon","Carnage, death, and despair await the ignoble remnants of a persecuted family who assemble for the wedding of their daughter on the eve of an evil 100-year-old curse.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjQ2NTkzNDA4N15BMl5BanBnXkFtZTgwMDI2NjU4MTI@._V1_SX300.jpg,36,NA,NA,596,tt4424722,movie,9/05/2017,Indican Pictures,http://www.7witchesfilm.com/
26,93Queen,93Queen,NA,N/A,1/01/2018,90 min,Documentary,Paula Eiselt,N/A,N/A,93QUEEN follows a group of tenacious Hasidic women who are shattering the glass ceiling in their Hasidic Brooklyn neighborhood by creating the first all-female volunteer ambulance corps in NYC.,English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNjc4OWVlY2YtYTczOS00MzVkLTk4NWItODE1Y2ZiODAwZmNmXkEyXkFqcGdeQXVyNTM4MDI5NDU@._V1_SX300.jpg,NA,89,NA,NA,tt7235016,movie,NA,Abramorama,https://www.93queen.com
27,A Aa,A Aa,NA,N/A,3/06/2016,152 min,"Comedy, Drama, Romance",Trivikram Srinivas,"Trivikram Srinivas (story), Trivikram Srinivas (screenplay), Yaddanapoodi Sulochana Rani (original story), Vedula Ravi Kiran (script coordinator)","Nithiin, Samantha Ruth Prabhu, Anupama Parameshwaran, Nadia Moidu",Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.,Telugu,India,3 wins & 5 nominations.,https://ia.media-imdb.com/images/M/MV5BYzE0OTgyZjgtYzUxNC00NDRiLTlhZTQtZTQyOTUwNTQwNjg4XkEyXkFqcGdeQXVyNTE0NDY5Njc@._V1_SX300.jpg,70,NA,NA,1124,tt5684466,movie,NA,Haarika & Hassine Creations,http://aaatelugumovie.in/
28,A Bad Moms Christmas,A Bad Moms Christmas,NA,R,1/11/2017,104 min,"Adventure, Comedy","Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Christine Baranski","As their own mothers drop in unexpectedly, our three under-appreciated and over-burdened moms rebel against the challenges and expectations of the Super Bowl for mothers: Christmas.","English, Japanese","USA, China",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTUwNTA4MDMxNl5BMl5BanBnXkFtZTgwMjE4NjQ0MzI@._V1_SX300.jpg,55,29,42,24606,tt6359956,movie,6/02/2018,STXfilms,http://badmomsxmas.com
29,A Beautiful Planet,A Beautiful Planet,NA,G,29/04/2016,45 min,Documentary,Toni Myers,Toni Myers,Jennifer Lawrence,An exploration of Earth and beyond as seen from the International Space Station. Narrated by Jennifer Lawrence.,English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzMjAxMzg5M15BMl5BanBnXkFtZTgwNjIxNjk5NzE@._V1_SX300.jpg,76,100,75,485,tt2800050,movie,NA,Walt Disney,http://abeautifulplanet.imax.com/
30,A Beginner's Guide to Snuff,A Beginner's Guide to Snuff,NA,UNRATED,4/03/2016,87 min,"Comedy, Horror, Thriller",Mitchell Altieri,"Cory Knauf, Adam Weis, Mitchell Altieri, Cory Knauf (story), Phil Flores (story), Mitchell Altieri (story)","Joey Kern, Luke Edwards, Bree Williamson, Brad Greenquist","""A Beginners Guide To Snuff"" is a pitch black comedy thriller in the vein of early Coen Brothers films.",English,USA,3 wins & 2 nominations.,https://ia.media-imdb.com/images/M/MV5BYTkwZWRlMDctYzBmOS00OTA4LWE3NzgtOTQ4ZDNhNGNkNDJlXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_SX300.jpg,55,NA,NA,125,tt4058122,movie,NA,Indican Pictures,N/A
31,A Bigger Splash,A Bigger Splash,NA,R,13/05/2016,125 min,"Drama, Thriller",Luca Guadagnino,"David Kajganich (screenplay by), Jacques Deray (movie ""La piscine""), Alain Page (original screenplay)","Tilda Swinton, Matthias Schoenaerts, Ralph Fiennes, Dakota Johnson",The vacation of a famous rock star and her boyfriend in Italy is disrupted by the unexpected visit of an old friend and his daughter.,"English, Italian","Italy, France",4 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxNzk3NzMwN15BMl5BanBnXkFtZTgwODc3ODQ4NzE@._V1_SX300.jpg,64,NA,74,20686,tt2056771,movie,NA,N/A,N/A
32,A Bit of Bad Luck,A Bit of Bad Luck,NA,NOT RATED,NA,86 min,"Comedy, Drama, Thriller",John Fuhrman,"John Fuhrman (story), John Fuhrman, John Fuhrman","Cary Elwes, Lance Rosen, Teri Polo, John Carlson",A wealthy heiress to a lumber company finds a diabolical way to get back at her sleazy husband for his constant affairs.,English,USA,5 wins.,https://ia.media-imdb.com/images/M/MV5BMTcwMjEyMTM4MF5BMl5BanBnXkFtZTgwMjQ2Mjc2MTE@._V1_SX300.jpg,49,NA,NA,223,tt2406306,movie,NA,Indican Pictures,http://www.facebook.com/pages/A-Bit-of-Bad-Luck/364360180280492?ref=ts&fref=ts
33,A Ciambra,A Ciambra,NA,N/A,26/01/2018,118 min,Drama,Jonas Carpignano,Jonas Carpignano,"Pio Amato, Koudous Seihon, Damiano Amato, Francesco Pio Amato","In A CIAMBRA, a small Romani community in Calabria, Pio Amato is desperate to grow up fast. At 14, he drinks, smokes and is one of the few to easily slide between the region's factions - ...",Italian,"Italy, Brazil, Germany, France, Sweden, USA",9 wins & 12 nominations.,https://m.media-amazon.com/images/M/MV5BNzNkZjA3ZWItNmE2ZS00MzM1LTllNTItMWM1MzkwYjViZDQ3XkEyXkFqcGdeQXVyMjY4MjAwNTM@._V1_SX300.jpg,70,88,70,1027,tt6802896,movie,10/07/2018,IFC Films,http://aciambra.com
34,A Cure for Wellness,A Cure for Wellness,NA,R,17/02/2017,146 min,"Drama, Fantasy, Horror",Gore Verbinski,"Justin Haythe (screenplay by), Justin Haythe (story by), Gore Verbinski (story by)","Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi","An ambitious young executive is sent to retrieve his company's CEO from an idyllic but mysterious ""wellness center"" at a remote location in the Swiss Alps, but soon suspects that the spa's treatments are not what they seem.","English, German","USA, Germany",4 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTg5Njg1MzIwNl5BMl5BanBnXkFtZTgwNDU1NjczMDI@._V1_SX300.jpg,64,41,47,62926,tt4731136,movie,6/06/2017,20th Century Fox,http://www.acureforwellness.com
35,A Different American Dream,A Different American Dream,NA,N/A,1/03/2016,84 min,Documentary,Simon Brook,"Simon Brook, Jane Wells",N/A,In North Dakota an Indian nation finds itself at a critical moment in its long history. The Three Affiliated Tribes face catastrophic damage to their land and culture as a result of the recent oil boom on the Fort Berthold Reservation.,English,"France, USA",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BNWZiZGVlZTMtZWQ5ZS00NTQ2LWI5ZTEtN2VhOWVjNzhhN2E4XkEyXkFqcGdeQXVyNjc1MTEzMDk@._V1_SX300.jpg,76,NA,NA,5,tt5095472,movie,NA,N/A,N/A
36,A Dog's Purpose,A Dog's Purpose,NA,PG,27/01/2017,100 min,"Adventure, Comedy, Drama",Lasse Hallström,"W. Bruce Cameron (screenplay), Cathryn Michon (screenplay), Audrey Wells (screenplay), Maya Forbes (screenplay), Wallace Wolodarsky (screenplay), W. Bruce Cameron (based on the novel by)","Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",A dog looks to discover his purpose in life over the course of several lifetimes and owners.,English,"USA, India",3 nominations.,https://m.media-amazon.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_SX300.jpg,70,33,43,45344,tt1753383,movie,2/05/2017,Amblin Entertainment,http://www.adogspurposemovie.com/
37,A Fantastic Woman,A Fantastic Woman,NA,R,2/02/2018,100 min,Drama,Sebastián Lelio,"Sebastián Lelio (screenplay), Gonzalo Maza (screenplay)","Daniela Vega, Francisco Reyes, Luis Gnecco, Aline Küppenheim","Marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",Spanish,"Chile, Germany, Spain, USA",Won 1 Oscar. Another 17 wins & 37 nominations.,https://m.media-amazon.com/images/M/MV5BNGJhNWM4ZjItYWRhYS00N2UzLTg3OWItOGEzOWFmMGQ1ZjlkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,72,94,86,13087,tt5639354,movie,22/05/2018,Sony Pictures Classics,http://sonyclassics.com/afantasticwoman/
38,A Ghost Story,A Ghost Story,NA,R,27/07/2017,92 min,"Drama, Fantasy, Romance",David Lowery,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr., Kenneisha Thompson","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.",English,USA,11 wins & 17 nominations.,https://m.media-amazon.com/images/M/MV5BMzcyNTc1ODQzMF5BMl5BanBnXkFtZTgwNTgzMzY4MTI@._V1_SX300.jpg,69,91,84,37047,tt6265828,movie,3/10/2017,Ideaman Studios,https://aghost.store/shop/welcome
39,A Girl Walks Home Alone at Night,A Girl Walks Home Alone at Night,NA,NOT RATED,20/04/2015,101 min,"Drama, Horror",Ana Lily Amirpour,Ana Lily Amirpour,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Marnò","In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",Persian,USA,7 wins & 23 nominations.,https://m.media-amazon.com/images/M/MV5BMjMzNjMyMjU2M15BMl5BanBnXkFtZTgwMzA3NjQ0MzE@._V1_SX300.jpg,70,96,81,24712,tt2326554,movie,21/04/2015,Vice Films,http://films.vice.com/a-girl-walks-home/
40,A Hologram for the King,A Hologram for the King,NA,R,28/04/2016,98 min,"Comedy, Drama, Romance",Tom Tykwer,"Dave Eggers (novel), Tom Tykwer (screenplay)","Tom Hanks, Alexander Black, Sarita Choudhury, Sidse Babett Knudsen",A failed American sales rep looks to recoup his losses by traveling to Saudi Arabia and selling his company's product to a wealthy monarch.,"English, Arabic","UK, France, Germany, Mexico, USA",2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTU2MzU1NTg4NV5BMl5BanBnXkFtZTgwNzQ5MjAzODE@._V1_SX300.jpg,61,73,58,32825,tt2980210,movie,9/08/2016,Roadside Attractions,N/A
41,A Kid Like Jake,A Kid Like Jake,NA,R,1/06/2018,92 min,"Drama, Family",Silas Howard,"Daniel Pearle (adapted by), Daniel Pearle (based on play), Daniel Pearle","Claire Danes, Jim Parsons, Octavia Spencer, Priyanka Chopra",Loving parents of a four-year-old must come to terms with their child being transgender.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BODllZmMwOGItNGI4Zi00YWEzLWJmMTYtYjgwZGI5ZmY3ODdiXkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,49,52,60,656,tt6884200,movie,28/08/2018,IFC Films,N/A
42,A La Mala,A la mala,NA,PG-13,26/02/2015,99 min,Comedy,Pedro Pablo Ibarra,"Issa López, Ari Rosen","Aislinn Derbez, Mauricio Ochmann, Aurora Papile, Luis Arrieta","When aspiring actress Maria Laura's best friend begs her to flirt with her boyfriend to test his fidelity, Maria finds a lucrative new career. After being hired by women across the city, ...",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNjEzODA5OTU3Nl5BMl5BanBnXkFtZTgwMzcyODAxNDE@._V1_SX300.jpg,64,43,NA,1980,tt4357170,movie,4/08/2015,Pantelion Films,http://www.alamalamovie.com/
